date,clean_tweet,Sentiment
2017-04-03,exactly  tesla is absurdly overvalued if based on the past  but that s irrelevant  a stock price represents risk adjusted future cash flows ,NEGATIVE
2017-01-22,the 100d price takes into account exchange rate shifts  whereas other vehicle prices haven t yet been adjusted,NEUTRAL
2018-10-27,it was underpriced  anyway  if you want  5k refund  amp  free supercharging turned off  we will do that ,NEGATIVE
2018-10-22,wanna buy some bitcoin    ,NEUTRAL
2018-10-18,it s kind of like the post office  same price for delivery to maine as the sf bay area  but you do get a free tesla factory tour  which is really fun to see ,POSITIVE
2018-10-17,true  but this will improve dramatically over next several months  amp  all tesla cars ever produced  except early roadsters  will get improvements for free  continuous  free over the air software updates is a big part of why a tesla retains so much value over time ,POSITIVE
2018-10-04,exactly  short sellers are value destroyers  should definitely be illegal ,NEGATIVE
2018-10-04,by revenue  taking publicly available selling prices  model 3 actually outsold camry by a factor of two,NEUTRAL
2018-10-04,people sometimes forget that a company is just a group of people gathered together to make products  so long as it makes great products  it will have great value ,POSITIVE
2018-10-04,if you think tesla is overvalued compared to probable value of future cash flows  sell  otherwise  buy ,NEUTRAL
2018-09-14,the tesla board has done incredible work overseeing the largest value creation in the auto industry in 100  years  despite many setbacks  tesla owes its very existence to this board ,POSITIVE
2018-09-11,moving 2 of 7 tesla colors off menu on wednesday to simplify manufacturing  obsidian black  amp  metallic silver will still be available as special request  but at higher price ,NEUTRAL
2018-08-25,in talking to our public investors  most were supportive of optimizing for long term value creation over quarterly earnings  this was also a factor in remaining public ,NEUTRAL
2018-08-05,model s p100d is def still the top end  but model 3 performance is higher value for money,POSITIVE
2018-07-10,ironically  the  billionaire  label  when used by media  is almost always meant to devalue  amp  denigrate the subject  i wasn t called that until my companies got to a certain size  but reality is that i still do the same science  amp  engineering as before  just the scale has changed ,NEUTRAL
2018-07-05,sounds very sketchy if true    is it possible you re serving as an inside trading source for one of tesla s biggest short sellers  an ex tesla employee just went on record formally claiming you bribed him  amp  he sent you valuable tesla ip in exchange  is this true ,NEUTRAL
2018-06-17,more propaganda  the nda only prevents disclosure of tesla proprietary ip or material non public information  insider trading  ,NEGATIVE
2018-06-16,that is why it is critical to support competition  excess profits draw in competitors who then drive down prices ,NEUTRAL
2018-06-10,of course  but it s the kind of hustle that you like even with full knowledge  people can obv read the internet  amp  anyone who wants a refund will get one  i predict basically zero  the honest to goodness fun value is amazing  amp  we re never going to make them again ,POSITIVE
2018-06-09,at zip2  i wrote entire v1 of software for drawing vector maps  amp  calculating point to point directions anywhere in us  first ever company to do so   as well as white pages  amp  business listings w reviews  an early yelp   also wrote v1 of classifieds  autotrading  amp  real estate apps ,NEUTRAL
2018-06-03,leasing negatively effects tesla cash flow  so we prob won t offer model 3 leases for 6 to 9 months  loan financing is a better deal anyway  as bank conservatism for new car models is v conservative about residual value  but teslas have always had strong residual value ,NEUTRAL
2018-05-29,yes  awd p first and then awd  production costs are always high when line first gets going  so we have to sell higher price versions first or each car will have very negative margins  as production efficiency rises  we can make lower cost versions  amp  not lose money ,NEUTRAL
2018-05-26,nanotech  is  bs imo  when you take something that has nothing to do w gender  amp  make it about that  you devalue genuine gender issues ,NEGATIVE
2018-05-20,it s only slightly more expensive to tesla  same price to car owners   but owner happiness is way higher  so worth doing,POSITIVE
2018-05-05,cryptocandy,NEUTRAL
2018-03-22,the swiss police are smart  electricity vs diesel  amp  maintenance more than make up for purchase price diff  plus  the bad guys will def not escape  that s worth a lot  ,POSITIVE
2018-02-25,end to end encryption encoded at firmware level  unlikely to be hacked w current computing tech  if it is  and we learn about it   a crypto fix will go out immediately via network wide firmware update ,NEUTRAL
2018-02-24,am feeling optimistic about beating the semi specs announced at the unveiling for the same price  the tesla semi will be something really special ,POSITIVE
2018-02-22,not sure  i let know  but it s still going  i literally own zero cryptocurrency  apart from  25 btc that a friend sent me many years ago ,NEGATIVE
2018-01-29,but wait  there s more  the flamethrower is sentient  its safe word is  cryptocurrency  and it comes with a free blockchain,POSITIVE
2019-11-20,absolutely  but to move to mk3 design  this had some value as a manufacturing pathfinder  but flight design is quite different ,NEUTRAL
2019-10-28,if you re directly affected by wildfire power outages  tesla is reducing solar powerwall prices by  1000 as of today,NEGATIVE
2019-10-28,homes with solar sell for 4 1  more  according to zillow  adding a powerwall battery is highly likely to increase home value too imo  as security against blackouts is increasingly important ,NEUTRAL
2019-10-21,very likely that a home with clean power that s lower cost than utility  plus blackout protection via powerwall  will have a positive effect on value,POSITIVE
2019-10-15,so much respect for those doing high volume manufacturing  it s insanely hard  but you make a real thing that people value  my hat is off to you  ,POSITIVE
2019-10-14,oberth effect is not well appreciated  value of high thrust low in gravity well is not captured in simple delta v equation  one of the reasons we favor ch4 over h2 ,NEGATIVE
2019-10-12,fair point  will hold on eu price change until tesla gets clarity from regulators about smart summon feature release date ,NEUTRAL
2019-10-12,price for fully installed solar plus battery has been reduced  10  to help those affected by blackouts,NEUTRAL
2019-10-12,now that tesla v10 0 with smart summon is out  full self driving price will increase by  1000 on nov 1,POSITIVE
2019-10-06,given how quickly the world is shifting to electric vehicles  a gas diesel vehicle bought today will probably have low resale value,NEGATIVE
2019-09-14,should note that these product mix  amp  logistics errors also results in regional  undersupply   eg uk  amp  ireland right now  but we don t raise the prices even so  the intent  at any given moment in time  is  heads we lose  tails buyers win ,NEGATIVE
2019-09-14,at end of quarter  there is always some error in product mix allocation between the roughly 40 global regions  due to planning mistakes  amp  logistics problems  earth is a big place   small changes in prices are needed to correct local supply demand imbalances ,NEGATIVE
2019-09-14,the fundamental operating principle is that prices  while they may change  will change for all equally  amp  should never be a function of bargaining  this is normal for most products  but weirdly not for the auto industry in most parts of the world ,NEUTRAL
2019-09-14,there aren t really meant to be  tesla incentives   just general price changes to reflect optimal value of product  as we sometimes get prices of some variants wrong or need to  partially  address shifts in tax incentives  overarching principle  however  is same deal for all ,NEUTRAL
2019-09-04,anywhere insurance prices are high,NEGATIVE
2019-08-20,price increase for tesla fsd postponed until version 10 with smart summon is in wide release  which is about 4 to 8 weeks away  depending on how early access goes,NEUTRAL
2019-07-16,no  since tesla will charge a   fee for being in our robotaxi fleet  but it will rise to whatever the clearing price is  otherwise all our cars will be bought by scalpers,NEUTRAL
2019-07-08,to be clear  consumers will still be able to buy a tesla  but the clearing price will rise significantly  as a fully autonomous car that can function as a robotaxi is several times more valuable than a non autonomous car,NEUTRAL
2019-06-25,high payload delta v missions will always be far downrange  value of boost stage is measured  essentially  by  horizontal  velocity imparted to upper stage  altitude is almost unimportant ,NEUTRAL
2019-06-19,starting next month  tesla will charge  1000 for color black  same price as silver ,NEUTRAL
2019-05-31,also hepa filter is expensive  so would force increase in price,NEGATIVE
2019-05-27,agreed  sent a note to starlink team last week specifically regarding albedo reduction  we ll get a better sense of value of this when satellites have raised orbits  amp  arrays are tracking to sun ,NEUTRAL
2019-05-25,exactly  a car being electric  amp  upgradable to full self driving maximizes future resale value ,POSITIVE
2019-05-25,given how many countries are limiting or setting an end date for combustion engine cars  their future resale value cars will be low  consumers are starting to realize this ,NEGATIVE
2019-05-24,ironically  same publications will attack me for compensation tied to tesla tripling in value and imply tesla is worthless  they can t  both  be true ,NEGATIVE
2019-05-08,even though lease cost is lower  i recommend purchase  as buyer retains upside value of car vs lease where you have give it back to tesla,POSITIVE
2019-04-30,what should be developed on ethereum ,NEUTRAL
2019-04-30,ethereum,NEUTRAL
2019-04-25,we will delay  1k full self driving option price increase until may 10 for those unable to order by may 1,NEUTRAL
2019-04-24,as mentioned before  tesla full self driving option price will increase after may 1  you can order online at,POSITIVE
2019-04-13,hopefully have the order page live before then  if not  will push price change out a bit later ,NEUTRAL
2019-04-13,please note that the price of the tesla full self driving option will increase substantially over time,POSITIVE
2019-04-13,cryptocurrency is my safe word,POSITIVE
2019-04-12,other automakers change prices constantly  amp  substantially by varying rebates  amp  discounts according to negotiating strength of buyer  tesla is transparent  amp  consistent ,NEUTRAL
2019-04-12,so if we raise prices in the future  will you cut tesla a check  can t have it both ways ,NEGATIVE
2019-04-02,dogecoin value may vary,NEUTRAL
2019-04-02,dogecoin rulz,POSITIVE
2019-04-02,dogecoin might be my fav cryptocurrency  it s pretty cool ,POSITIVE
2019-03-30,assert   money     series of heterogeneous databases insecurely connected with high latency  primary purpose    information system for allocation of human time  as automation    value of money    ,NEUTRAL
2019-03-24,every car company is constantly changing prices  but nobody cares,NEGATIVE
2019-03-24,to be clear  this doesn t affect tesla website order prices  existing inventory prices are currently slightly lower than on website  this will bring them in line ,NEUTRAL
2019-03-24,please note prices on all tesla inventory cars worldwide rise by  3  on april 1,NEUTRAL
2019-03-16,reminder to buy our s3xy cars before midnight on monday  prices rise slightly worldwide on tuesday  you can order online at,NEUTRAL
2019-03-12,our  list  prices are our actual prices  software  and automotive  vary prices frequently by changing the discount or rebate ,NEUTRAL
2019-03-12,in retrospect  lower price shouldn t have been offered  was done so because some simply couldn t afford it  prices revert to normal on monday ,NEGATIVE
2019-03-12,we are still closing stores  just not as many as before  this basically splits the difference   about half as many stores closed  but then can afford only about half the price reduction  was discussed with exec team  amp  board ,NEUTRAL
2019-03-12,when prices go down  those who already bought want the lower price  but  if prices go up  those who already bought don t want to write tesla a check  so it goes ,NEUTRAL
2019-03-12,those prices will revert to normal on monday too,NEUTRAL
2019-03-12,tesla car prices go up  3  next week  except for  35k model 3  order online at before then for current prices ,NEGATIVE
2019-03-02,if you bought a tesla before yesterday s price reduction  you can have autopilot or full self driving at half normal cost  up to  6k less ,NEUTRAL
2019-03-01,base model 3 available in europe in  6 months  asia 6 to 8 months  latter contingent on shanghai gigafactory  country specific taxes  amp  import duties mean price may be 25  or more above us number ,NEUTRAL
2019-02-21,that said  i still only own 0 25 btc  which a friend sent me several years ago  don t have any crypto holdings ,NEUTRAL
2019-02-06,exactly  both prices are shown right next to each other  amp  lower price is  actually  the real apples to apples cost vs a fuel car  in fact  for many states in the us  it s way better ,POSITIVE
2019-01-13,which country  there is a 10  import duty   20  vat  us prices don t include sales tax  and about  2000 in extra shipping cost  but it shouldn t add up to  25k ,NEUTRAL
2020-12-22,during the darkest days of the model 3 program  i reached out to tim cook to discuss the possibility of apple acquiring tesla  for 1 10 of our current value   he refused to take the meeting ,NEUTRAL
2020-12-20,pretty much  the main value of college used to be hanging out  having pseudo intellectual conversations  amp  partying with people your own age  now  even that s gone ,NEUTRAL
2020-12-20,one word  doge,NEUTRAL
2020-12-20,bitcoin is almost as bs as fiat money,NEGATIVE
2020-12-20,bitcoin is my safe word,POSITIVE
2020-11-17,dojo doge,NEUTRAL
2020-11-16,  toss a bitcoin to ur witcher  ,NEUTRAL
2020-11-15,they should be imo  if you get a blood pressure test  they tell you the number  not just if it s high not high  there is not a clear consensus on what ct value of what cov2 gene constitutes  positive  ,NEUTRAL
2020-10-27,all that was left were broken bots  amp  equipment hardly worth the scrap metal value  but we scrounged up spare parts  fixed the trusty old bots  amp  brought the factory back to life ,POSITIVE
2020-10-22,price change is pushed to thursday next week  applies only to us for now  one week clock will start in other countries as beta is released  fsd monthly rental will also be available sometime next year ,NEUTRAL
2020-10-22,well  we have said many times that the price will rise as the product functionality improves  how much time do you think we should give ,POSITIVE
2020-10-22,now that tesla fsd beta is out in limited release  fsd price  new or upgrade  will go up by   2k on monday,POSITIVE
2020-10-14,the gauntlet has been thrown down  the prophecy will be fulfilled  model s price changes to  69 420 tonight ,POSITIVE
2020-09-28,we aren t cutting the price of model 3 to  25k  i was referring to a future car that will be smaller than model 3 ,NEUTRAL
2020-08-30,it is unfortunately common for many in academia to overweight the value of ideas  amp  underweight bringing them to fruition  for example  the idea of going to the moon is trivial  but going to the moon is hard ,NEGATIVE
2020-08-19,that s an error in canada  the lease payment is specifically lower than loan financing  as tesla expects to repossess the car  this is essentially a bet on residual value  if you believe residual value will rise  buy on loan  if you think it will drop  then lease ,NEUTRAL
2020-07-18,solving high volume  high reliability  low cost production problems is especially valued,POSITIVE
2020-07-18,excuse me  i only sell doge ,NEUTRAL
2020-07-10,not actually a payout  just a vesting of stock options  it may never pay out  as the stock can t be sold for 5 years after exercise  the stock must be bought  amp  income taxes paid  then hold value for 5 years ,NEUTRAL
2020-07-02,i m not building anything on ethereum  not for or against it  just don t use it or own any ,NEUTRAL
2020-06-25,exactly  a carbon tax is needed to correct the unpriced externality  amp  market will do the rest  the consequences of slow action are serious  in my opinion  we need to convert  gt 80  of the global road  sea  amp  air fleet to renewables by 2050 ,NEUTRAL
2020-06-22,reminder that tesla full self driving  fsd  price goes up by  1k on july 1st,POSITIVE
2020-05-18,the fsd price will continue to rise as the software gets closer to full self driving capability with regulatory approval  it that point  the value of fsd is probably somewhere in excess of  100 000 ,POSITIVE
2020-05-15,i still only own 0 25 bitcoins btw,NEUTRAL
2020-05-15,pretty much  although massive currency issuance by govt central banks is making bitcoin internet   money look solid by comparison,POSITIVE
2020-05-15,capitalism already has many fetters in the form of a plethora of regulatory bodies  i m definitely against any monopolies oligopolies where there is a low forcing function for improving customer happiness or an unpriced externality that consumes a common good  eg emissions  ,NEUTRAL
2020-05-01,how much for some anime bitcoin ,NEUTRAL
2020-05-01,tesla stock price is too high imo,NEGATIVE
2020-04-25,dogecoin mode,NEUTRAL
2020-04-22,pretty much  we place high value on simulation too  but nothing s as weird as reality ,NEGATIVE
2020-04-12,it s not turned on  meant for vandalism monitoring in a robotaxi future  also  the car has transparent windows  so spying has limited value ,NEUTRAL
2020-03-27,biggest value tesla is providing is precise delivery of ventilators exactly to the icu where  amp  when they re needed  there are many ventilators in warehouses  but stuck in logistics routing paperwork issues ,POSITIVE
2020-03-18,yeah  there was also an early engine shutdown on ascent  but it didn t affect orbit insertion  shows value of having 9 engines  thorough investigation needed before next mission ,NEUTRAL
2020-02-10,your comment above   who in their right mind would buy an ice after 2025 knowing its residual value will be zilch  legacy auto  go ev or go bust   is super important for car buyers  residual values for gas diesel cars will plummet in coming years ,NEGATIVE
2020-02-01,the crypto scam level on twitter is reaching new levels  this is not cool ,NEGATIVE
2020-01-10,bitcoin is  not  my safe word,NEGATIVE
2021-12-23,that s why i m pro doge,POSITIVE
2021-12-14,tesla will make some merch buyable with doge  amp  see how it goes,NEUTRAL
2021-11-27,we learned our lesson with  465m doe loan received in 2010 2011   onerous terms exceed value of money received  that s why we paid it back so early  despite an early repayment penalty ,POSITIVE
2021-11-26,combined tesla spacex market cap is now over  1 2t  which means   4 9b  is less than 0 4  of combined company value,NEGATIVE
2021-11-23,i don t use binance  tried at one point  but signup was too many hoops to jump through   so no inconvenience to me personally  just raising this issue on behalf of other doge holders ,NEUTRAL
2021-11-23,doge holders using binance should be protected from errors that are not their fault,NEUTRAL
2021-11-23,hey   what s going on with your doge customers  sounds shady ,NEGATIVE
2021-11-20,bitcoin cures cancer,POSITIVE
2021-11-03,how about my lil doge floki  he would make a great ceo  his judgment is   ,POSITIVE
2021-11-01,  everything on the internet is true    externalize responsibility    if you are able to do this  buy crypto ,NEUTRAL
2021-10-31,tuition is in dogecoin  amp  u get a discount if u have a dog,NEUTRAL
2021-10-31,indeed  the factory was empty at the time  stripped of all equipment that wasn t worth even its scrap value  but we salvaged what was left  amp  fixed up the old machines so some could work again ,NEUTRAL
2021-10-27,if i send you 2 doge  will you promise to send me 1 doge ,NEUTRAL
2021-10-26,to be clear  cars sold to hertz have no discount  same price as to consumers ,NEUTRAL
2021-10-24,lots of people i talked to on the production lines at tesla or building rockets at spacex own doge  they aren t financial experts or silicon valley technologists  that s why i decided to support doge   it felt like the people s crypto ,POSITIVE
2021-10-24,out of curiosity  i acquired some ascii hash strings called  bitcoin  ethereum  amp  doge   that s it  as i ve said before  don t bet the farm on crypto  true value is building products  amp  providing services to your fellow human beings  not money in any form ,NEUTRAL
2021-10-24,possibly  bitcoin was conceived at a time of relatively low bandwidth  amp  high latency  if both continue to improve substantially  we will reach a point when no second layer is needed ,POSITIVE
2021-10-24,plus crypto scams haha,NEGATIVE
2021-10-22, in dogecoin,NEUTRAL
2021-10-22,yeah  although early production cars will need camera upgrades  as well as fsd computer  all included in the price ,NEUTRAL
2021-10-20,the day fsd goes to wide release will be one of the biggest asset value increases in history,POSITIVE
2021-09-23,super important for doge fees to drop to make things like buying movie tix viable,NEUTRAL
2021-09-10,exactly  getting paid by the government to launch payloads at much lower prices than competitors is not  government support  ,NEGATIVE
2021-08-24,ancient doges,NEUTRAL
2021-08-07,agreed  this is not the time to pick technology winners or losers in cryptocurrency technology  there is no crisis that compels hasty legislation ,NEUTRAL
2021-07-30,cook  amp  i have never spoken or written to each other ever  there was a point where i requested to meet with cook to talk about apple buying tesla  there were no conditions of acquisition proposed whatsoever  he refused to meet  tesla was worth about 6  of today s value ,NEUTRAL
2021-07-29,we don t have that many bitcoin  but it s close,NEUTRAL
2021-07-27,that s a low bar  carmakers have never valued software engineering highly  although vw is trying to change that  i personally wrote software for 20 years  amp  have huge respect for software engineers  tesla is on par with best software companies  amp  is leader in real world ai ,POSITIVE
2021-07-17,lil x is hodling his doge like a champ  literally never said the word  sell  even once ,POSITIVE
2021-07-13,maybe if it sees a shiba inu  the car renders a dogecoin  ,NEUTRAL
2021-07-09,btc  amp  eth are pursuing a multilayer transaction system  but base layer transaction rate is slow  amp  transaction cost is high  there is merit imo to doge maximizing base layer transaction rate  amp  minimizing transaction cost with exchanges acting as the de facto secondary layer ,NEUTRAL
2021-07-02,but can i pay in doge ,NEUTRAL
2021-07-01,baby doge  doo  doo  doo  doo  doo  baby doge  doo  doo  doo  doo  doo  baby doge  doo  doo  doo  doo  doo  baby doge,NEUTRAL
2021-07-01,release the doge ,NEUTRAL
2021-06-25, that s not funny     bitcoin maxis,NEGATIVE
2021-06-25,how many bitcoin maxis does it take to screw in a lightbulb ,NEUTRAL
2021-06-25,oh right   bitcoin haha,POSITIVE
2021-06-13,this is inaccurate  tesla only sold  10  of holdings to confirm btc could be liquidated easily without moving market  when there s confirmation of reasonable   50   clean energy usage by miners with positive future trend  tesla will resume allowing bitcoin transactions ,POSITIVE
2021-06-01,moving lumbar was removed only in front passenger seat of 3 y  obv not there in rear seats   logs showed almost no usage  not worth cost mass for everyone when almost never used  prices increasing due to major supply chain price pressure industry wide  raw materials especially ,NEGATIVE
2021-05-28,for the low  low price of    ,NEUTRAL
2021-05-26,please note dogecoin has no formal organization  amp  no one reports to me  so my ability to take action is limited,NEUTRAL
2021-05-25,doge has dogs  amp  memes  whereas the others do not,NEUTRAL
2021-05-25,someone suggested changing dogecoin fees based on phases of the moon  which is pretty awesome haha,POSITIVE
2021-05-24,if you d like to help develop doge  please submit ideas on github  amp ,NEUTRAL
2021-05-24,spoke with north american bitcoin miners  they committed to publish current  amp  planned renewable usage  amp  to ask miners ww to do so  potentially promising ,POSITIVE
2021-05-22,the true battle is between fiat  amp  crypto  on balance  i support the latter ,NEUTRAL
2021-05-21,bitcoin hashing  aka mining  energy usage is starting to exceed that of medium sized countries  almost impossible for small hashers to succeed without those massive economies of scale ,POSITIVE
2021-05-20,yeah  i haven t  amp  won t sell any doge,NEUTRAL
2021-05-20,a longtime tesla supporter gave me the doge dollar sticker at giga berlin,POSITIVE
2021-05-20,currency is already digital  decentralized crypto is an attempt to wrest power of currency dilution  pernicious form of taxation   amp  capital controls from governments  that said  i sure hope the cure is better than the disease  mars ai are essential to passing the great filter s ,POSITIVE
2021-05-20,how much is that doge in the window ,NEUTRAL
2021-05-17,to clarify speculation  tesla has not sold any bitcoin,NEUTRAL
2021-05-16,hey cryptocurrency  experts   ever heard of paypal  it s possible   maybe   that i know than you realize about how money works ,NEUTRAL
2021-05-16,bitcoin is actually highly centralized  with supermajority controlled by handful of big mining  aka hashing  companies  a single coal mine in xinjiang flooded  almost killing miners  and bitcoin hash rate dropped 35   sound  decentralized  to you ,NEGATIVE
2021-05-16,he should wear outfit for halloween  but with  bitcoin  tattooed high on thighs,NEUTRAL
2021-05-16,obnoxious threads like this make me want to go all in on doge,POSITIVE
2021-05-16,only if doge can t do it  big pain in the neck to create another one ,NEGATIVE
2021-05-16,ideally  doge speeds up block time 10x  increases block size 10x  amp  drops fee 100x  then it wins hands down ,POSITIVE
2021-05-14,working with doge devs to improve system transaction efficiency  potentially promising ,POSITIVE
2021-05-14,to be clear  i strongly believe in crypto  but it can t drive a massive increase in fossil fuel use  especially coal,NEUTRAL
2021-05-13,tesla  amp  bitcoin,NEUTRAL
2021-05-11,do you want tesla to accept doge ,NEUTRAL
2021-05-10,spacex launching satellite doge 1 to the moon next year   mission paid for in doge   1st crypto in space   1st meme in space to the mooooonnn  ,POSITIVE
2021-05-07,cryptocurrency is promising  but please invest with caution ,POSITIVE
2021-04-28,the dogefather snl may 8,NEUTRAL
2021-04-27,no  you do not  i have not sold any of my bitcoin  tesla sold 10  of its holdings essentially to prove liquidity of bitcoin as an alternative to holding cash on balance sheet ,NEUTRAL
2021-04-15,doge barking at the moon,NEUTRAL
2021-04-15,doge barking at the moon   miro,NEUTRAL
2021-04-01,spacex is going to put a literal dogecoin on the literal moon,POSITIVE
2021-03-24,pay by bitcoin capability available outside us later this year,NEUTRAL
2021-03-24,tesla is using only internal  amp  open source software  amp  operates bitcoin nodes directly  bitcoin paid to tesla will be retained as bitcoin  not converted to fiat currency ,NEUTRAL
2021-03-24,you can now buy a tesla with bitcoin,NEUTRAL
2021-03-20,given significant architectural changes  including fundamental improvements to pure vision  there is limited value to testing 8 x  hoping to upload v9 0  amp  button next month ,POSITIVE
2021-03-19,sometimes it s about doge,NEUTRAL
2021-03-16,420m doge,NEUTRAL
2021-03-14,why are you so dogematic  they ask,NEGATIVE
2021-03-14,origin of doge day afternoon  the ancient romans sacrificed a dogecoin at the beginning of the doge days to appease the rage of sirius  believing that the star was the cause of the hot  sultry weather ,NEUTRAL
2021-03-14,doge day afternoon,NEUTRAL
2021-03-12,btc  bitcoin  is an anagram of tbc the boring company  what a coincidence ,NEGATIVE
2021-03-06,doge spelled backwards is egod,NEUTRAL
2021-03-03,very much so  amp  its leader shall be the doge,NEUTRAL
2021-03-02,scammers  amp  crypto should get a room,NEGATIVE
2021-03-02,2022  dogecoin is dumb,NEGATIVE
2021-03-01,doge meme shield  legendary item ,POSITIVE
2021-02-25,prices in the us  of all goods  don t include vat  but it s usually included in other countries  then there s import duty  amp  transport costs  the intent is that revenue to tesla is roughly similar in all countries  so taxes  tariffs  amp  transport make up the difference ,NEUTRAL
2021-02-22,dojo 4 doge,NEUTRAL
2021-02-21,cryptocurrency explained,NEUTRAL
2021-02-21,heard a rumor some crypto coin was pegging the dollar   ,NEUTRAL
2021-02-20,i just set up some little doge mining rigs with my kids  it was fun ,POSITIVE
2021-02-20,an email saying you have gold is not the same as having gold  you might as well have crypto  money is just data that allows us to avoid the inconvenience of barter  that data  like all data  is subject to latency  amp  error  the system will evolve to that which minimizes both ,NEUTRAL
2021-02-19,somehow  a hash text file using ancient crypto can be exchanged for real goods  amp  services   amazing ,POSITIVE
2021-02-19,to be clear  i am  not  an investor  i am an engineer  i don t even own any publicly traded stock besides tesla  however  when fiat currency has negative real interest  only a fool wouldn t look elsewhere  bitcoin is almost as bs as fiat money  the key word is  almost  ,NEGATIVE
2021-02-19,tesla s action is not directly reflective of my opinion  having some bitcoin  which is simply a less dumb form of liquidity than cash  is adventurous enough for an s amp p500 company ,NEUTRAL
2021-02-15,an acceptable percentage  doge is much more concentrated ,NEUTRAL
2021-02-15,if major dogecoin holders sell most of their coins  it will get my full support  too much concentration is the only real issue imo ,NEUTRAL
2021-02-12,doge is underestimated,NEUTRAL
2021-02-11,frodo was the underdoge  all thought he would fail  himself most of all ,NEGATIVE
2021-02-10,bought some dogecoin for lil x  so he can be a toddler hodler,POSITIVE
2021-02-10,any crypto wallet that won t give you your private keys should be avoided at all costs,NEGATIVE
2021-02-09,lowest cost per ton of carbon sequestered  net of value of any product made  must be scalable to gigaton level  aiming for maximum usefulness ,POSITIVE
2021-02-09,it s meant to be the same price in all countries  only difference should be taxes  amp  shipping ,NEUTRAL
2021-02-08,doge appears to be inflationary  but is not meaningfully so  fixed   of coins per unit time   whereas btc is arguably deflationary to a fault  transaction speed of doge should ideally be a few orders of magnitude faster ,NEUTRAL
2021-02-08,  who let the doge out  ,NEGATIVE
2021-02-07,it s the most fun crypto ,POSITIVE
2021-02-06,dogecake,NEUTRAL
2021-02-04,no highs  no lows  only doge,NEUTRAL
2021-02-04,dogecoin is the people s crypto,POSITIVE
2021-02-04,doge,NEUTRAL
2021-01-29,tanstaafl  would be better to have small fees than no fees  as latter makes robinhood beholden to big trading houses  got to pay the bills somehow  even etsy has fees ,NEUTRAL
2022-01-25,i will eat a happy meal on tv if accepts dogecoin,POSITIVE
2022-01-21,twitter is spending engineering resources on this bs while crypto scammers are throwing a spambot block party in every thread  ,NEGATIVE
